# x g ann dg ann_dg ddg ann_ddg ann_antiderivative
-0.235 -0.537584 -0.537535 3.64103 3.63402 18.0561 18.0482 -0.231681
-0.23 -0.519155 -0.519142 3.73008 3.72304 17.5587 17.5553 -0.234323
-0.225 -0.500287 -0.500309 3.81659 3.80955 17.044 17.0451 -0.236871
-0.22 -0.480993 -0.48105 3.90049 3.89346 16.5124 16.5179 -0.239325
-0.215 -0.461287 -0.461379 3.98169 3.9747 15.9643 15.9743 -0.241681
-0.21 -0.441181 -0.441308 4.0601 4.05318 15.4002 15.4146 -0.243938
-0.205 -0.420691 -0.420852 4.13566 4.12882 14.8206 14.8394 -0.246094
-0.2 -0.399829 -0.400025 4.20829 4.20155 14.226 14.2492 -0.248146
-0.195 -0.378613 -0.378841 4.2779 4.27129 13.6169 13.6443 -0.250093
-0.19 -0.357056 -0.357317 4.34443 4.33797 12.9938 13.0255 -0.251934
-0.185 -0.335174 -0.335467 4.40781 4.40152 12.3574 12.3931 -0.253666
-0.18 -0.312983 -0.313307 4.46798 4.46188 11.708 11.7478 -0.255288
-0.175 -0.290499 -0.290854 4.52487 4.51898 11.0465 11.0901 -0.256799
-0.17 -0.26774 -0.268123 4.57843 4.57276 10.3733 10.4206 -0.258196
-0.165 -0.244721 -0.245132 4.62859 4.62316 9.68898 9.73999 -0.259479
-0.16 -0.22146 -0.221897 4.6753 4.67014 8.99428 9.04876 -0.260647
-0.155 -0.197974 -0.198436 4.71851 4.71363 8.28979 8.34757 -0.261698
-0.15 -0.17428 -0.174767 4.75818 4.7536 7.57616 7.63707 -0.262631
-0.145 -0.150398 -0.150906 4.79426 4.78999 6.85406 6.91792 -0.263445
-0.14 -0.126344 -0.126873 4.82671 4.82277 6.12414 6.19075 -0.26414
-0.135 -0.102137 -0.102684 4.85549 4.85189 5.3871 5.45626 -0.264714
-0.13 -0.077795 -0.0783599 4.88057 4.87732 4.64362 4.71512 -0.265166
-0.125 -0.0533372 -0.0539175 4.90192 4.89903 3.8944 3.96802 -0.265497
-0.12 -0.0287821 -0.0293759 4.91951 4.91699 3.14014 3.21565 -0.265705
-0.115 -0.00414843 -0.0047539 4.93331 4.93118 2.38155 2.45873 -0.265791
-0.11 0.0205447 0.0199296 4.94332 4.94157 1.61936 1.69796 -0.265753
-0.105 0.0452784 0.0446554 4.9495 4.94815 0.854278 0.934061 -0.265591
-0.1 0.0700334 0.0694047 4.95186 4.95091 0.0870402 0.167754 -0.265306
-0.095 0.0947905 0.0941581 4.95037 4.94983 -0.681626 -0.600233 -0.264897
-0.09 0.119531 0.118897 4.94504 4.9449 -1.45099 -1.36917 -0.264365
-0.085 0.144234 0.143601 4.93586 4.93613 -2.22031 -2.13833 -0.263708
-0.08 0.168883 0.168251 4.92284 4.92352 -2.98885 -2.90696 -0.262929
-0.075 0.193456 0.19283 4.90597 4.90707 -3.75588 -3.67435 -0.262026
-0.07 0.217936 0.217316 4.88528 4.88678 -4.52067 -4.43975 -0.261001
-0.065 0.242303 0.241691 4.86077 4.86267 -5.28247 -5.20242 -0.259853
-0.06 0.266538 0.265936 4.83246 4.83476 -6.04056 -5.96164 -0.258584
-0.055 0.290621 0.290032 4.80037 4.80306 -6.79421 -6.71668 -0.257194
-0.05 0.314535 0.31396 4.76453 4.7676 -7.54269 -7.46679 -0.255684
-0.045 0.33826 0.337702 4.72496 4.72841 -8.28528 -8.21127 -0.254055
-0.04 0.361778 0.361238 4.68169 4.6855 -9.02126 -8.94938 -0.252307
-0.035 0.385071 0.384551 4.63476 4.63892 -9.74994 -9.68042 -0.250443
-0.03 0.40812 0.407622 4.5842 4.58871 -10.4706 -10.4037 -0.248462
-0.025 0.430907 0.430432 4.53006 4.5349 -11.1826 -11.1185 -0.246367
-0.02 0.453415 0.452965 4.47239 4.47754 -11.8851 -11.8241 -0.244158
